x,y,z,d
0.14,0.0317781,0.36325443,0.33313012
-0.06,-0.2682219,0.31325443,0.33446234
0.29,0.0817781,0.41325443,0.33505464
-0.16,-0.8682219,0.61325443,0.3357862
0.19,-0.0182219,0.11325443,0.33877844
0.29,-0.8682219,0.71325443,0.33920085
0.04,-0.9682219,0.66325443,0.33933556
-0.26,-0.8682219,0.71325443,0.33995616
0.14,-0.3682219,0.66325443,0.34010845
-0.11,0.4817781,0.71325443,0.34048247
0.09,0.5317781,0.71325443,0.34066722
0.19,0.5817781,0.51325443,0.34359163
0.24,0.0817781,0.51325443,0.3467608
0.09,-0.3682219,0.51325443,0.34724116
0.14,-0.2182219,0.51325443,0.34854335
-0.11,0.4317781,0.31325443,0.34998554
0.19,0.1317781,0.26325443,0.35033262
-0.31,-0.9182219,0.71325443,0.35087
-0.36,-0.1682219,0.56325443,0.3546808
-0.01,-0.1182219,0.46325443,0.3570739
0.09,0.3817781,0.46325443,0.3571437
0.14,-0.2182219,0.56325443,0.357903
0.29,0.7817781,0.41325443,0.35806984
-0.21,-0.2682219,0.86325443,0.35986322
0.29,0.0317781,0.51325443,0.36471003
0.24,0.6317781,0.31325443,0.36528283
-0.36,-0.4682219,0.71325443,0.3666021
-0.21,-0.4682219,0.91325443,0.36834788
-0.01,0.0817781,0.46325443,0.37027603
-0.36,-0.1182219,0.51325443,0.37167704
-0.11,0.4817781,0.51325443,0.37216735
-0.21,0.3317781,0.36325443,0.37293226
-0.21,-0.2682219,0.71325443,0.37433594
0.29,0.2817781,0.11325443,0.37527847
0.04,0.7317781,0.76325443,0.3763327
0.14,0.5317781,0.51325443,0.37866792
0.39,-0.8682219,0.71325443,0.38021097
0.29,0.6317781,0.31325443,0.38097018
0.24,-0.0182219,0.11325443,0.38148004
0.39,-0.8182219,0.61325443,0.38154566
-0.26,-0.1182219,0.71325443,0.38168377
0.19,0.0817781,0.51325443,0.38414496
-0.11,0.4317781,0.71325443,0.38553804
0.29,0.5317781,0.31325443,0.38724646
0.24,0.3817781,0.36325443,0.38802725
0.29,0.5817781,0.31325443,0.38846365
-0.16,-0.3682219,0.96325443,0.39139542
-0.11,-0.0682219,0.36325443,0.39411265
-0.06,0.9817781,0.11325443,0.39538342
-0.21,0.6817781,0.36325443,0.39627606
0.09,-0.3682219,0.86325443,0.3969678
0.29,0.9317781,0.21325443,0.39863992
-0.21,0.0817781,0.21325443,0.40080547
-0.21,0.4817781,0.46325443,0.4010119
0.14,-0.9182219,0.31325443,0.40105397
0.19,0.0817781,0.21325443,0.40157488
0.19,-0.4682219,0.86325443,0.403881
0.29,0.7317781,0.46325443,0.40446022
0.04,0.5317781,0.71325443,0.41032845
-0.16,-0.9682219,0.66325443,0.4158818
0.14,0.7817781,0.76325443,0.41701072
-0.06,0.5317781,0.56325443,0.41806585
0.19,-0.9182219,0.31325443,0.4202118
-0.06,0.9317781,0.66325443,0.42174762
-0.36,0.4817781,0.26325443,0.42370963
0.04,0.5817781,0.71325443,0.4239449
0.19,0.5317781,0.41325443,0.42586
0.14,-0.8682219,0.71325443,0.4295861
0.19,0.1317781,0.16325443,0.43016815
0.09,0.4817781,0.71325443,0.4305253
-0.01,0.5317781,0.71325443,0.43125796
0.24,-0.4682219,0.61325443,0.43457127
0.24,-0.1182219,0.51325443,0.43478382
-0.31,0.8317781,0.16325443,0.43524218
0.24,-0.1182219,0.31325443,0.4354996
-0.31,0.8817781,0.21325443,0.43937755
0.34,0.6317781,0.21325443,0.43999213
0.19,-0.8682219,0.71325443,0.4404676
-0.21,0.1317781,0.26325443,0.44106835
-0.16,0.4317781,0.71325443,0.4417416
-0.16,0.5317781,0.46325443,0.4426269
-0.16,-0.6682219,0.61325443,0.4437074
0.09,-0.4682219,0.96325443,0.44506323
0.24,-0.4682219,0.91325443,0.44903827
-0.21,0.1817781,0.31325443,0.4499842
-0.16,2.4317781,0.41325443,0.45149916
0.04,-0.3682219,0.91325443,0.45157343
-0.16,-0.1182219,0.16325443,0.45195735
-0.26,0.8317781,0.41325443,0.4530589
0.19,-0.9182219,0.71325443,0.45443594
0.04,-0.2182219,0.31325443,0.4552251
-0.16,0.9817781,0.11325443,0.45650798
-0.31,0.9817781,0.16325443,0.46100545
0.14,-0.4682219,0.81325443,0.46232545
-0.01,0.3317781,0.36325443,0.46270305
-0.11,0.3317781,0.36325443,0.4634992
0.24,0.4817781,0.46325443,0.46538347
0.24,0.7317781,0.21325443,0.46649396
-0.26,-0.5182219,0.66325443,0.4667017
0.24,0.8817781,0.46325443,0.46708065
0.04,-0.0682219,0.46325443,0.46715176
-0.41,-0.7182219,0.61325443,0.46901143
0.39,-0.9182219,0.71325443,0.4694175
0.29,0.5817781,0.41325443,0.47186077
-0.26,0.7317781,0.26325443,0.47595984
0.34,0.6817781,0.21325443,0.47645742
0.19,0.4317781,0.31325443,0.47652954
-0.16,-0.3182219,0.76325443,0.4797144
-0.21,0.4317781,0.61325443,0.480048
0.34,0.5317781,0.26325443,0.4815508
0.04,-0.4682219,0.96325443,0.48345137
0.34,-0.0182219,0.21325443,0.48432153
0.14,0.6317781,0.46325443,0.4850043
-0.11,-0.2682219,0.31325443,0.48571968
0.19,0.6317781,0.61325443,0.48677427
0.19,0.8317781,0.71325443,0.48721904
0.14,0.4317781,0.71325443,0.48866212
0.29,0.1317781,0.26325443,0.49119854
